Título,Preço,Ano,Quilometragem,Transmissão,Localidade,Combustível,Potência,URL
"Mercedes-Benz
CLA 250
e SB AMG-Sport/LED/Night/Ambiente/19'","€ 28,870",04/2022,"35,680 km",Automatic,Ihr Vertriebsteam • DE-58135 Hagen,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-sport-led-night-ambiente-19-electric-gasoline-black-5d79229b-9151-43ce-bc02-2421a9627140
"Mercedes-Benz
CLA 250
e SB AMG/Wide/LED/360/Totw/CarPlay/Night","€ 25,940",04/2021,"57,312 km",Automatic,Ihr Vertriebsteam • DE-51545 Waldbröl,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-wide-led-360-totw-carplay-night-electric-gasoline-black-07afc35c-53c6-4df2-9e49-979155e31bd2
"Mercedes-Benz
CLA 250
e SB AMG/MBUX/Navi/LED/AHK/Cam/Night/18""","€ 26,180",03/2021,"59,750 km",Automatic,Ihr Vertriebsteam • DE-57610 Altenkirchen,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-mbux-navi-led-ahk-cam-night-18-electric-gasoline-grey-c511ebed-87dc-4f09-adce-7a4caf237f34
"Mercedes-Benz
CLA 250
CLA 250 AMG Edition2021 OptikPaket Kamera*Led*Na","€ 26,950",04/2022,"54,660 km",Automatic,Automarkt Immelborn • DE-36456 Barchfeld Immelborn,Electric/Gasoline,160 kW (218 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-cla-250-amg-edition2021-optikpaket-kamera-led-na-electric-gasoline-grey-7bbe1a1f-2ef9-4238-8005-0d57eecd271d
"Mercedes-Benz
CLA 250
e AMG 360°+M-LED+Pano","€ 29,777",09/2021,"49,690 km",Automatic,Internet Vertriebsteam • DE-38820 Halberstadt,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-amg-360-m-led-pano-electric-gasoline-white-cc2ab469-e72f-43f7-89f0-86c4cde3c56c
"Mercedes-Benz
CLA 250
e AMG Virtual*Kamera*Night*Alcantara*Nav","€ 29,890",04/2021,"29,988 km",- Gear,Automarkt Immelborn • DE-36456 Barchfeld Immelborn,Electric/Gasoline,160 kW (218 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-amg-virtual-kamera-night-alcantara-nav-electric-gasoline-black-88607b87-afde-4968-bc96-c4a1eef33e89
"Mercedes-Benz
CLA 250
e SB AMG+MBUX+LED+Kamera+Ambiente+19''","€ 29,879",10/2022,"38,330 km",Automatic,Online Vertriebsteam • DE-86609 Donauwörth,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-mbux-led-kamera-ambiente-19-electric-gasoline-white-c7043f97-cb12-44b6-9bdd-a26a5f6077a4
"Mercedes-Benz
CLA 250
e SB Ed. 2020 AMG Night Pano/MBUX/Kamera","€ 29,450",02/2021,"33,621 km",Automatic,Andreas Janik • DE-85276 Pfaffenhofen an der Ilm,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-ed-2020-amg-night-pano-mbux-kamera-electric-gasoline-grey-1085ecc6-680a-4400-9ad2-0285c86ef24b
"Mercedes-Benz
CLA 250
e COUPE AMG-LINE MBUX EDITION NIGHT LED","€ 29,390",06/2021,"55,800 km",Automatic,Taunus-Auto Internet-Verkauf • DE-65189 Wiesbaden,Electric/Gasoline,160 kW (218 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-coupe-amg-line-mbux-edition-night-led-electric-gasoline-grey-58536f93-2086-4590-a283-4a11343b6956
"Mercedes-Benz
CLA 250
DCT AMG LINE PANORAMADACH","€ 29,990",03/2022,"39,000 km",Automatic,Torsten Lüdtke • DE-22848 Norderstedt,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-dct-amg-line-panoramadach-electric-gasoline-black-1e08c0af-a0d2-4fbe-9ca0-2bb87343e92e
